mepan_mepid,Groep,Parameter,Eenheid,Hoedanigheid,Berekening,Norm,Year,KRW_Value,mepan,mepid,X,Y
oLOONVA100 (342136),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.39,oLOONVA100,342136,137789,409150
oLORRGR700 (343515),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.16,oLORRGR700,343515,155708,420490
oLUISWE300 (342401),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,,oLUISWE300,342401,144655.832,415170.094
oMAHOGR000 (345531),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.01,oMAHOGR000,345531,170223,415715
oMAHOKL000 (345530),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.014,oMAHOKL000,345530,170214,415797
oMAXIMA001 (990193),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oMAXIMA001,990193,151242,416842
oMAXIMA003 (990195),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oMAXIMA003,990195,151320,416645
oMOBRLO250 (900070),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oMOBRLO250,900070,180986.99,395098.07
oMOERPU000 (349701),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.3,oMOERPU000,349701,145642,410906
oMOLEHL220 (140283),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oMOLEHL220,140283,159457.23,405230.955
oMOLEHL500 (140327),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oMOLEHL500,140327,157556,405821
oMUNSWE500 (343514),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,,oMUNSWE500,343514,171508,418713
oMUNVEN000 (349756),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oMUNVEN000,349756,168500,417400
oNIEUWI000 (345610),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oNIEUWI000,345610,141168.913,411130.045
oOEFFRA200 (340413),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.05,oOEFFRA200,340413,195586.725,401455.619
oOEFFRA400 (900192),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.088,oOEFFRA400,900192,193283,404415
oOEFFRA710 (900042),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.15,oOEFFRA710,900042,191999,410935
oOEFFRA850 (340415),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.17,oOEFFRA850,340415,193439,413055
oOIJEWI000 (140314),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,1.6,oOIJEWI000,140314,163510,425846
